epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1803,1.11643,2.35347,1.01402,0.86684,0.30485,0.69139,0.51111,0.84077,2.34603,0.86768,0.000549493,0.000549493,0.000549493
2,74.1206,1.04127,1.46209,1.06239,0.865,0.69108,0.74153,0.54802,0.95806,1.56467,0.97761,0.00109422,0.00109422,0.00109422
3,111.477,1.08408,1.47689,1.07928,0.88291,0.71109,0.81453,0.58201,1.0127,1.38278,0.96277,0.00162794,0.00162794,0.00162794
4,151.964,1.09798,1.27194,1.06525,0.90423,0.8436,0.89047,0.60874,1.06369,1.12267,1.00139,0.00161749,0.00161749,0.00161749
5,197.275,1.10664,1.24953,1.08577,0.87464,0.8198,0.853,0.58542,1.02712,1.2318,0.99935,0.00160099,0.00160099,0.00160099
6,236.836,1.03295,1.08825,1.02809,0.89746,0.87067,0.89307,0.62118,0.97095,0.96659,0.95179,0.00158448,0.00158448,0.00158448
7,273.141,1.04869,1.21718,1.04821,0.9294,0.87794,0.89414,0.6469,0.93684,1.01013,0.94222,0.00156798,0.00156798,0.00156798
8,310.194,1.01208,1.09047,1.04164,0.88978,0.87402,0.89261,0.65401,0.8624,0.9521,0.91118,0.00155148,0.00155148,0.00155148
9,347.172,1.00298,1.04216,1.03241,0.87644,0.8727,0.89747,0.65675,0.88677,0.96115,0.90601,0.00153497,0.00153497,0.00153497
10,385.514,0.9437,0.99281,1.00413,0.83895,0.90204,0.87677,0.63102,0.89108,0.87412,0.93141,0.00151847,0.00151847,0.00151847
11,424.743,0.98125,1.02661,1.02844,0.88195,0.91069,0.88045,0.61619,0.95043,0.92894,0.95682,0.00150197,0.00150197,0.00150197
12,467.519,0.99574,0.95194,1.02413,0.89061,0.92037,0.89657,0.6614,0.86978,0.83194,0.91302,0.00148546,0.00148546,0.00148546
13,508.948,0.92273,0.88803,0.99683,0.91586,0.90806,0.92255,0.65542,0.86681,0.80574,0.89718,0.00146896,0.00146896,0.00146896
14,546.232,0.97123,0.97831,1.01415,0.87388,0.89757,0.88019,0.63506,0.85079,0.93861,0.89981,0.00145246,0.00145246,0.00145246
15,582.674,0.91163,0.87292,0.98956,0.91742,0.89468,0.89071,0.6279,0.90039,0.76359,0.92106,0.00143595,0.00143595,0.00143595
16,619.208,0.91011,0.87912,0.99197,0.9027,0.91094,0.89799,0.67914,0.8199,0.75979,0.87935,0.00141945,0.00141945,0.00141945
17,655.713,0.88606,0.79361,1.00817,0.88282,0.89468,0.86647,0.66192,0.82347,0.87626,0.87683,0.00140295,0.00140295,0.00140295
18,696.184,0.88132,0.81442,0.98483,0.90508,0.92661,0.91535,0.69203,0.79838,0.68134,0.86494,0.00138644,0.00138644,0.00138644
19,733.109,0.85436,0.75388,0.96741,0.88257,0.91742,0.90484,0.682,0.81407,0.71377,0.8808,0.00136994,0.00136994,0.00136994
20,769.387,0.91542,0.81815,0.98909,0.90561,0.90757,0.88553,0.65905,0.82856,0.72638,0.90485,0.00135344,0.00135344,0.00135344
21,804.8,0.86916,0.76516,0.96193,0.89703,0.93274,0.88496,0.66895,0.78495,0.70866,0.89514,0.00133693,0.00133693,0.00133693
22,840.6,0.86496,0.7706,0.99297,0.92037,0.92511,0.89282,0.67857,0.80018,0.74858,0.89343,0.00132043,0.00132043,0.00132043
23,876.196,0.83898,0.74685,0.96062,0.91161,0.91742,0.90285,0.69713,0.76339,0.62791,0.87332,0.00130393,0.00130393,0.00130393
24,911.774,0.8364,0.73593,0.97397,0.91534,0.91007,0.89661,0.68154,0.79927,0.71111,0.88411,0.00128742,0.00128742,0.00128742
25,947.298,0.8589,0.74066,0.98701,0.91355,0.91007,0.90756,0.69678,0.82618,0.68139,0.89681,0.00127092,0.00127092,0.00127092
26,981.983,0.84546,0.73672,0.97337,0.89797,0.93181,0.91191,0.70182,0.77937,0.67168,0.86326,0.00125442,0.00125442,0.00125442
27,1017.28,0.86857,0.74062,0.96752,0.91067,0.92935,0.91917,0.69509,0.8111,0.67142,0.87772,0.00123791,0.00123791,0.00123791
28,1052.57,0.82772,0.75772,0.96789,0.89655,0.93281,0.90264,0.70707,0.72013,0.69091,0.8482,0.00122141,0.00122141,0.00122141
29,1088.33,0.84219,0.70625,0.97398,0.91469,0.91631,0.9017,0.69701,0.77084,0.65398,0.85802,0.00120491,0.00120491,0.00120491
30,1123.89,0.83456,0.75147,0.96541,0.90235,0.91742,0.88502,0.68032,0.72182,0.70369,0.84363,0.0011884,0.0011884,0.0011884
31,1159.26,0.81018,0.70298,0.96198,0.90604,0.93281,0.89,0.66805,0.76022,0.65441,0.85696,0.0011719,0.0011719,0.0011719
32,1194.93,0.82533,0.70236,0.94541,0.91263,0.93281,0.89902,0.68343,0.74687,0.62093,0.85663,0.0011554,0.0011554,0.0011554
33,1229.86,0.79944,0.66754,0.93182,0.92944,0.93281,0.90689,0.68611,0.7861,0.65197,0.86749,0.00113889,0.00113889,0.00113889
34,1265.92,0.81772,0.72359,0.95866,0.92657,0.92479,0.91368,0.70603,0.73093,0.69327,0.8641,0.00112239,0.00112239,0.00112239
35,1301.92,0.80417,0.69076,0.95485,0.91867,0.92545,0.90808,0.70083,0.74672,0.64798,0.86188,0.00110589,0.00110589,0.00110589
36,1338.43,0.7814,0.64203,0.9219,0.90162,0.9405,0.90655,0.692,0.76316,0.66134,0.86893,0.00108938,0.00108938,0.00108938
37,1373.87,0.78046,0.67468,0.95461,0.92478,0.9405,0.90762,0.69316,0.73705,0.59804,0.86241,0.00107288,0.00107288,0.00107288
38,1410,0.74773,0.64849,0.9255,0.92304,0.93884,0.90295,0.70083,0.70708,0.6027,0.85541,0.00105638,0.00105638,0.00105638
39,1445.25,0.77401,0.64491,0.9278,0.93206,0.92511,0.90571,0.67962,0.73768,0.62757,0.8526,0.00103987,0.00103987,0.00103987
40,1481.97,0.75284,0.66516,0.94927,0.92954,0.9405,0.90156,0.68018,0.74641,0.60179,0.85953,0.00102337,0.00102337,0.00102337
41,1517.25,0.72867,0.61021,0.9228,0.91734,0.9405,0.9032,0.69188,0.69927,0.64685,0.85298,0.00100687,0.00100687,0.00100687
